ID1	ID2	MeSH Tree Number 1	MeSH Tree Number 2
D000070624	D000070642	C26.915.300.200.194.375	C26.915.300.200.194
D000070624	D000070642	C10.228.140.199.444.375	C10.228.140.199.444
D000070625	D001930	C26.915.300.200.188	C26.915.300.200
D000070625	D001930	C10.900.300.087.219	C10.900.300.087
D000070625	D001930	C10.228.140.199.388	C10.228.140.199
D000070627	D020208	C23.550.291.500.063.500.500	C23.550.291.500.063.500
D000070627	D000070642	C10.900.300.087.235.500	C10.900.300.087.235
D000070627	D020208	C10.228.140.199.500.500	C10.228.140.199.500
D000070627	D000070642	C10.228.140.199.444.500	C10.228.140.199.444
D000070627	D020208	C26.915.300.200.200.500	C26.915.300.200.200
D000070627	D000070642	C26.915.300.200.194.500	C26.915.300.200.194
D000070627	D020208	C10.900.300.087.250.500	C10.900.300.087.250
D000070627	D019636	C10.574.250	C10.574
D000070630	D004204	C05.550.518.288	C05.550.518
D000070630	D004204	C26.289.288	C26.289
D000070631	D004204	C05.550.518.192	C05.550.518
D000070631	D004204	C26.289.192	C26.289
D000070636	D012421	C26.761.340	C26.761
D000070636	D013708	C26.874.400	C26.874
D000070636	D000070599	C26.803.063	C26.803
D000070639	D052256	C26.874.800.500	C26.874.800
D000070639	D052256	C05.651.869.435	C05.651.869
D000070639	D000092464	C26.088.134.625	C26.088.134
D000070642	D001930	C10.900.300.087.235	C10.900.300.087
D000070642	D001930	C26.915.300.200.194	C26.915.300.200
D000070642	D001930	C10.228.140.199.444	C10.228.140.199
D000070656	D002805	C05.550.114.264.500	C05.550.114.264
D000070656	D000070657	C05.550.354.250	C05.550.354
D000070657	D007592	C05.550.354	C05.550
D000070676	D052256	C26.874.800.750	C26.874.800
D000070676	D052256	C05.651.869.653	C05.651.869
D000070779	D052256	C05.651.869.762	C05.651.869
D000070779	D013585	C05.550.870.445	C05.550.870
D000070779	D005870	C04.557.450.565.380.690	C04.557.450.565.380
D000070896	D012784	C26.404.625.500	C26.404.625
D000070896	D012784	C26.803.250.500	C26.803.250
D000071017	D002493	C10.228.590	C10.228
D000071056	D004065	C06.198.025	C06.198
D000071056	D004065	C16.131.314.047	C16.131.314
D000071057	D004409	C10.597.350.275.500	C10.597.350.275
D000071057	D004409	C10.228.662.262.500.500	C10.228.662.262.500
D000071057	D004409	C23.888.592.350.275.500	C23.888.592.350.275
D000071064	D005222	C23.888.369.500.250	C23.888.369.500
D000071067	D011014	C08.730.610.608	C08.730.610
D000071067	D011014	C01.748.610.608	C01.748.610
D000071067	D011014	C08.381.677.608	C08.381.677
D000071069	D002908	C23.550.291.500.500	C23.550.291.500
D000071070	D008068	C18.452.584.718.625	C18.452.584.718
D000071070	D008068	C17.800.463.375	C17.800.463
D000071070	D030342	C16.320.298	C16.320
D000071071	D000783	C14.907.055.817	C14.907.055
D000071072	D001927	C10.228.140.021	C10.228.140
D000071074	D007232	C16.614.627	C16.614
D000071074	D018805	C23.550.470.790.500.470	C23.550.470.790.500
D000071074	D018805	C01.757.580	C01.757
D000071075	D010523	C10.668.829.860	C10.668.829
D000071078	D014652	C14.907.798	C14.907
D000071079	D001157	C14.907.137.825	C14.907.137
D000071243	D018177	C01.925.782.350.250.990	C01.925.782.350.250
D000071243	D001102	C01.925.081.990	C01.925.081
